Model,Fold,Test R2,Test MAE,Test MSE,Fit Time,Score Time
TREENN1,0,0.5369643330993177,0.5567121575889077,0.4974263714962562,84.30510783195496,0.007849693298339844
TREENN1,1,0.5954781077901556,0.48511460171751747,0.47351841318086113,72.08099460601807,0.007279157638549805
TREENN1,2,0.6180532493167226,0.5314538760991292,0.5494420912394126,66.25289511680603,0.0072171688079833984
TREENN1,3,0.5234263666762176,0.547417974953094,0.5591087508573344,62.01179122924805,0.006859540939331055
TREENN1,4,0.7062508158683527,0.48607490836452283,0.42803913030605584,62.13033580780029,0.00710296630859375
TREENN2,0,0.5176017106869104,0.5689954877326867,0.5182270995993932,97.7404990196228,0.006897926330566406
TREENN2,1,0.5906312915619913,0.47537421274310176,0.47919191756600593,114.89525389671326,0.006788492202758789
TREENN2,2,0.6613581778753143,0.4997471793975321,0.4871466260583608,93.7820053100586,0.0068149566650390625
TREENN2,3,0.5052552602426842,0.5375025512192346,0.5804268094097808,89.42677092552185,0.0068552494049072266
TREENN2,4,0.7111360856831033,0.46374350983428936,0.4209205177080405,88.58325028419495,0.006910562515258789
TREENN3,0,0.3641905730344307,0.6505140071672613,0.6830324288742841,56.70374584197998,0.006956815719604492
TREENN3,1,0.5481425545184722,0.5049655641264462,0.5289276666820742,57.68419098854065,0.007006406784057617
TREENN3,2,0.5277792928000022,0.6110913645023277,0.6793039407361577,56.55125451087952,0.007124185562133789
TREENN3,3,0.33257892485709317,0.6756396047853734,0.7830079918951066,56.6190025806427,0.006887197494506836
TREENN3,4,0.6324093423979718,0.5268529859926196,0.5356378634845436,56.76938819885254,0.006840229034423828
FONN1,0,0.5368786076661216,0.5615010569104621,0.4975184639509585,122.19894242286682,0.012543439865112305
FONN1,1,0.5950934942898871,0.48068622882145423,0.4739686275644145,119.82538604736328,0.011955022811889648
FONN1,2,0.6084885261306023,0.5325811937830155,0.5632012382935677,117.8485198020935,0.012483835220336914
FONN1,3,0.5191757016107992,0.5596670336219244,0.5640955647909208,151.93978118896484,0.012484073638916016
FONN1,4,0.6781254073300016,0.5021142810405193,0.4690223093601398,116.11246633529663,0.012343406677246094
FONN2,0,0.47941896211089885,0.5885763242790816,0.5592457671354151,132.99181532859802,0.010032176971435547
FONN2,1,0.5869537615181183,0.47547356603257723,0.483496698652851,134.29606938362122,0.010061264038085938
FONN2,2,0.6459267944355058,0.5114712694536642,0.509345143450426,134.10580253601074,0.01050567626953125
FONN2,3,0.4712487831801385,0.5636833224948223,0.6203226777122157,128.25111985206604,0.010144233703613281
FONN2,4,0.6697191209881891,0.5033052480732143,0.4812716012364382,134.52602362632751,0.010317564010620117
FONN3,0,-6.091873739198124,2.130017061301405,7.618603216489521,98.64458847045898,0.011230707168579102
FONN3,1,-2.9851480356474727,1.634034106464256,4.664867366811686,108.18406844139099,0.011451244354248047
FONN3,2,-3.6179248565532545,2.125690231527827,6.643026248638206,102.06987428665161,0.011835575103759766
FONN3,3,-7.904960064630236,2.6378278573439116,10.447160207848201,101.74344563484192,0.011149883270263672
FONN3,4,-2.7784872905027727,1.6912312837093,5.505854998305158,87.58792114257812,0.008730888366699219
PureMLP,0,0.7387162963289626,0.40093549693887454,0.28068983436661393,130.5366985797882,0.003340005874633789
PureMLP,1,0.6196797553021622,0.48804003708597954,0.44518885686527104,130.56256914138794,0.0033233165740966797
PureMLP,2,0.7260701257587372,0.4360690550657493,0.39405650836620243,130.50930643081665,0.0032279491424560547
PureMLP,3,0.6296549031829022,0.49389372015091115,0.434483089262448,130.29210925102234,0.0032396316528320312
PureMLP,4,0.49856935377293743,0.5750773214318948,0.730663945005701,130.7831199169159,0.003200531005859375
